,Price,Year,Mileage,City,State,Make,Model
41010,12888,2006,59000,Tempe, AZ,BMW,Z4Roadster
322425,11885,2013,113153,St. Louis, MO,Ford,EscapeSEL
469384,26647,2015,24536,Oroville, CA,INFINITI,Q50AWD
676504,20784,2016,6907,Norfolk, VA,Nissan,Altima2.5
846839,16300,2013,21820,Colorado Springs, CO,Volkswagen,Beetle
185805,51858,2016,4132,Lee's Summit, MO,Chevrolet,CorvetteStingray
410641,21990,2015,44499,Austin, TX,Honda,CR-VEX-L
210885,18598,2017,17450,Arlington, TX,Dodge,JourneySXT
416196,4990,2007,193677,Newport News, VA,Honda,Odyssey4dr
361184,17880,2013,40139,Columbus, MS,GMC,TerrainFWD
361884,27900,2013,39673,Livermore, CA,GMC,AcadiaAWD
613936,35995,2015,42975,Decatur, IL,Mercedes-Benz,M-ClassML350
287750,6999,2001,107155,Commerce City, CO,Ford,F-1502WD
546557,10687,2011,112702,Cartersville, GA,Kia,Sorento2WD
119137,20000,2017,21269,Sanford, FL,Chevrolet,ImpalaLT
617691,46981,2014,15469,Egg Harbor Township, NJ,Mercedes-Benz,E-ClassE350
195748,16999,2016,45574,Orlando, FL,Chrysler,Town
525262,16424,2017,22753,Shreveport, LA,Kia,OptimaLX
301894,28955,2015,32247,Buffalo, MN,Ford,ExplorerXLT
135682,5000,2006,184987,Junction City, KS,Chevrolet,TrailBlazer4dr
720351,45595,2017,680,Bethlehem, PA,Ram,25004WD
770073,15891,2014,50696,San Antonio, TX,Toyota,PriusThree
770938,18472,2015,27592,Manchester, NH,Toyota,RAV44X4
298824,13947,2007,78106,Panama City, FL,Ford,Explorer
147470,21800,2010,76104,Summerville, SC,Chevrolet,Silverado
690709,8890,2007,99262,Santa Ana, CA,Nissan,Xterra2WD
301789,29664,2016,22310,Lakewood, NJ,Ford,Explorer4WD
97202,12995,2015,31000,Tucson, AZ,Chevrolet,Cruze1LT
381243,14823,2015,18218,Maitland, FL,Honda,Civic
113850,14995,2015,25850,Salem, NH,Chevrolet,City
291157,13500,2010,95910,Clanton, AL,Ford,Expedition2WD
342616,13999,2007,186857,Odessa, TX,Ford,F-1502WD
96526,15790,2016,13497,Anniston, AL,Chevrolet,CruzeLT
558656,25950,2015,23352,Pensacola, FL,Lexus,IS
43205,24900,2011,43670,Skokie, IL,BMW,X5AWD
724886,9850,2008,103645,Milan, MI,Saturn,OutlookAWD
415333,28287,2016,4932,Jersey City, NJ,Honda,CR-VTouring
271210,19398,2014,35680,Hampton, VA,Ford,EscapeTitanium
606636,36991,2016,9158,Maitland, FL,Mercedes-Benz,C-ClassC300
502292,27288,2014,22500,Mt. Juliet, TN,Jeep,Grand
132624,6995,2002,119084,Westfield, IN,Chevrolet,Camaro2dr
806715,30988,2015,35181,Concord, NC,Toyota,Tacoma4WD
76615,30996,2014,24039,Auburn, WA,Cadillac,ELRCoupe
