,Price,Year,Mileage,City,State,Make,Model
601647,26500,2014,41412,Union City, GA,Mercedes-Benz,GLK-ClassGLK350
299668,27989,2016,29669,Valencia, CA,Ford,ExplorerFWD
384945,20999,2017,9,Orlando, FL,Honda,Civic
805563,31995,2015,36458,Trevose, PA,Toyota,HighlanderAWD
703518,90452,2015,10068,Cherry Hill, NJ,Porsche,911Coupe
83187,55995,2015,35175,Hayward, CA,Cadillac,Escalade
120535,15500,2014,44458,Wilminton, OH,Chevrolet,ImpalaLS
333531,39288,2015,24608,Georgetown, TX,Ford,F-1504WD
565645,25988,2013,48077,Fairfax, VA,Lexus,GS
787124,25980,2015,11852,Dublin, OH,Toyota,AvalonXLE
626386,18995,2014,32251,Raleigh, NC,MINI,Cooper
149283,8995,2007,174660,Virginia Beach, VA,Chevrolet,TahoePolice
607125,12900,2008,130968,Seattle, WA,Mercedes-Benz,M-Class4WD
115186,13000,2014,66890,Omaha, NE,Chevrolet,Captiva
66332,25999,2015,8199,El Paso, TX,Buick,EncoreLeather
440299,15488,2015,36670,Bayside, NY,Hyundai,SonataSE
91069,18533,2017,19190,Sandy, UT,Chevrolet,MalibuLT
549144,8999,2010,143101,Fairbanks, AK,Kia,Soul5dr
537270,13994,2013,57767,McKinney, TX,Kia,SorentoEX
637779,14511,2014,24447,Matteson, IL,Nissan,Altima2.5
126707,15988,2014,62582,Elk Grove, CA,Chevrolet,VoltPlug-In
187034,12477,2014,24425,Palmer, MA,Chrysler,200Sedan
798592,23775,2014,69640,Chino, CA,Toyota,"SiennaSE,"
38796,36995,2017,480,Bryan, TX,BMW,3
341416,39950,2014,88277,Bastrop, TX,Ford,F-1504WD
80966,44490,2017,5372,Golden Valley, MN,Cadillac,CTS
476885,30230,2013,24723,Staunton, VA,INFINITI,M37M37
97518,8588,2012,69008,Barrington, IL,Chevrolet,CruzeSedan
547431,18487,2015,17324,North Kansas City, MO,Kia,SportageLX
99787,6948,2008,45042,Seattle, WA,Chevrolet,Cobalt4dr
95418,15995,2016,7685,Huntington Beach, CA,Chevrolet,CruzeLT
94730,12893,2015,27764,Aberdeen, MD,Chevrolet,Cruze1LT
592776,13025,2012,72280,Bethlehem, PA,Mazda,CX-9AWD
339383,42941,2017,20693,Olive Branch, MS,Ford,ExpeditionLimited
50566,39973,2017,979,Rockland, MA,BMW,X1xDrive28i
442535,10900,2017,14098,Stone Mountain, GA,Hyundai,AccentSE
663466,9998,2014,32314,Hemet, CA,Nissan,Versa
313155,9900,2012,155715,Philadelphia, PA,Ford,Econoline
188907,15150,2015,29393,Newton, MA,Chrysler,200C
150441,25643,2015,65897,Tyler, TX,Chevrolet,Traverse2LT
701822,54663,2014,52594,Duluth, GA,Porsche,CayenneGTS
699279,6985,2009,128861,Kernersville, NC,Pontiac,Vibe4dr
283038,24997,2017,29646,Roseville, CA,Ford,Escape4WD
839231,13995,2015,74925,Charlotte, NC,Volkswagen,Golf4-Door
492784,6990,2010,133352,Alpharetta, GA,Jeep,CommanderRWD
10295,16295,2008,118084,Fairfield, OH,Acura,MDX4WD
393691,17983,2015,23959,Middletown, CT,Honda,Accord
288695,26815,2016,9707,Pembroke Pines, FL,Ford,F-1504WD
104284,9920,2011,91630,Naples, FL,Chevrolet,EquinoxAWD
437867,13475,2014,29061,Wayne, NJ,Hyundai,SonataGLS
723941,144876,2012,16360,Bradenton, FL,Rolls-Royce,Ghost4dr
541803,21783,2017,20448,Vero Beach, FL,Kia,SedonaLX
306378,5499,2006,191740,Dallas, TX,Ford,Expedition4dr
129196,23550,2017,11903,Ellicott City, MD,Chevrolet,VoltLT
365259,35991,2016,9725,Boise, ID,GMC,AcadiaAWD
671452,16000,2014,68305,Philadelphia, PA,Nissan,RogueSV
804935,24780,2012,48517,Burbank, CA,Toyota,4RunnerRWD
433750,12995,2017,19785,Burbank, IL,Hyundai,ElantraSE
767380,11995,2014,32021,Lake Bluff, IL,Toyota,Yaris5-Door
725287,11500,2016,17304,Charlotte, NC,Scion,iAAutomatic
741476,18780,2014,107325,Lee's Summit, MO,Subaru,Outback3.6R
250095,15938,2015,34953,Adamsburg, PA,Ford,FusionSE
546641,16999,2015,39997,Conway, AR,Kia,OptimaLX
365326,36000,2017,26728,Grand Rapids, MI,GMC,Acadia
773392,17500,2014,38155,Louisville, KY,Toyota,PriusTwo
86060,16733,2017,30781,Toledo, OH,Chevrolet,MalibuLT
29442,21981,2015,22332,Rockville, MD,BMW,X1xDrive28i
94420,12690,2014,29753,Ballwin, MO,Chevrolet,Cruze1LT
763024,6995,2009,97719,Marietta, GA,Toyota,Camry4dr
311386,7280,2012,109481,Springfield, MO,Ford,Focus5dr
670556,17988,2016,11322,Dallas, TX,Nissan,FrontierKing
846954,1995,2001,169210,Seattle, WA,Volkswagen,New
612524,18792,2008,124607,Fort Pierce, FL,Mercedes-Benz,GL-Class4WD
629274,9489,2017,22917,Olive Branch, MS,Mitsubishi,MirageES
658277,13591,2015,20794,Carlsbad, CA,Nissan,LEAFSL
609567,25995,2014,74761,Raleigh, NC,Mercedes-Benz,E-ClassE350
485465,18297,2016,36060,Owings Mills, MD,Jeep,CherokeeFWD
489059,15300,2016,35443,Colorado Springs, CO,Jeep,PatriotLatitude
240084,14048,2016,47641,Tucson, AZ,Ford,FusionSE
265828,7557,2011,113022,Leominster, MA,Ford,Escape4WD
300625,27999,2014,12789,Radcliff, KY,Ford,F-1504WD
708500,27480,2015,25396,Indianapolis, IN,Ram,1500Big
234219,5100,1997,120190,Warren, PA,Dodge,Ram
835330,7995,2012,106542,Murfreesboro, TN,Volkswagen,Jetta
416137,5695,2007,165872,Ridgewood, NY,Honda,Pilot4WD
771961,16988,2015,43560,Burlington, VT,Toyota,PriusTwo
802793,23795,2011,79350,San Juan Capistrano, CA,Toyota,Tundra
435049,13025,2016,49519,Sevierville, TN,Hyundai,Sonata2.4L
252373,12000,2014,24316,Lancaster, PA,Ford,FocusHatchback
762845,11675,2016,36097,Maitland, FL,Toyota,Yaris5-Door
459223,18988,2013,45488,Indianapolis, IN,Hyundai,Santa
190342,12000,2015,76526,Houston, TX,Chrysler,200Limited
333683,35995,2015,32132,Edinburg, TX,Ford,Expedition2WD
266519,16955,2014,38747,Buffalo, MN,Ford,EdgeSE
784046,14991,2017,16259,San Antonio, TX,Toyota,Yaris
780432,21991,2016,25956,Millington, TN,Toyota,PriusTwo
655289,16999,2014,44479,Centennial, CO,Nissan,MuranoAWD
7222,32967,2016,6356,Fort Worth, TX,Acura,TLXFWD
391954,7885,2008,86400,Grand Island, NY,Honda,Accord
117332,7595,2012,79161,West Covina, CA,Chevrolet,SonicHatch
694929,8990,2007,155189,Burlington, NJ,Nissan,Titan4WD
806704,21806,2012,107198,Phoenix, AZ,Toyota,SequoiaRWD
832558,20690,2016,12593,D'Iberville, MS,Volkswagen,Passat4dr
367796,21900,2011,100437,Englewood, FL,GMC,Yukon
28929,4950,2007,134000,Costa Mesa, CA,BMW,5
19963,22888,2009,79099,Redondo Beach, CA,Audi,S52dr
680118,18991,2014,53349,Oak Ridge, TN,Nissan,Altima2.5
64122,26980,2016,22334,Columbia, KY,Buick,CascadaPremium
464445,22389,2016,3409,Sheboygan, WI,Hyundai,TucsonFWD
728837,14991,2017,4916,Fort Worth, TX,smart,fortwopure
169364,16550,2008,160961,Tucson, AZ,Chevrolet,Corvette2dr
614137,36995,2014,19722,Teterboro, NJ,Mercedes-Benz,E-ClassE350
673686,13895,2009,113915,Waukegan, IL,Nissan,MuranoAWD
532315,14488,2015,46074,Norwood, MA,Kia,SorentoLX
239879,12593,2015,24518,Bedford, OH,Ford,FusionSE
591324,20991,2015,33666,Montgomeryville, PA,Mazda,CX-5Grand
38822,30900,2014,33910,Costa Mesa, CA,BMW,3
622766,6725,2008,125360,Pontiac, MI,Mercury,MarinerFWD
499420,34999,2017,6962,Salinas, CA,Jeep,CherokeeOverland
299082,29999,2016,14169,Rancho Santa Margarita, CA,Ford,MustangFastback
644416,13335,2016,40499,Patchogue, NY,Nissan,SentraS
262297,16383,2014,4855,Maryville, MO,Ford,FiestaHatchback
82791,49977,2015,63628,Middletown, CT,Cadillac,Escalade
472565,20999,2014,26823,Miami, FL,INFINITI,Q60
564759,24500,2013,50255,Hurricane, UT,Lexus,GS
195097,27988,2017,27756,Ocala, FL,Chrysler,PacificaTouring-L
247123,13000,2015,18184,Grapevine, TX,Ford,FocusSedan
345295,49988,2013,27107,Aurora, CO,Ford,F-150SuperCrew
544341,20995,2015,36232,Fairbanks, AK,Kia,SedonaEX
623442,9177,2012,54704,Miami, FL,MINI,Cooper
264280,18397,2016,19503,Lakeland, FL,Ford,EscapeFWD
51906,39995,2015,18465,Great Neck, NY,BMW,7
203402,9077,2013,81238,Centerville, OH,Dodge,AvengerSE
61518,14564,2010,39456,Conroe, TX,Buick,Lucerne4dr
135107,8500,2014,27426,Orlando, FL,Chevrolet,SonicSedan
638978,11000,2014,69640,Statesboro, GA,Nissan,Altima2.5
314468,34715,2017,18022,Omaha, NE,Ford,Explorer4WD
725793,17699,2016,12037,Palo Alto, CA,Scion,tCAutomatic
820716,40495,2015,48461,Fontana, CA,Toyota,Tundra
32466,9995,2008,115149,Chantilly, VA,BMW,5
841578,18587,2014,12511,Pompton Plains, NJ,Volkswagen,Passat4dr
569480,35988,2015,38479,Ann Arbor, MI,Lexus,RX
195495,18751,2016,45346,Madison, WI,Chrysler,Town
654344,9395,2012,33212,Mesa, AZ,Nissan,Versa5dr
239588,10499,2014,31721,West Covina, CA,Ford,FusionS
816165,39998,2016,6867,Englewood, CO,Toyota,Tundra
587128,11195,2012,77455,Las Vegas, NV,Mazda,Mazda64dr
103972,8995,2012,114169,Slidell, LA,Chevrolet,Malibu1LZ
545073,8988,2011,100069,Colorado Springs, CO,Kia,Sorento2WD
734226,23993,2017,7081,McKinney, TX,Subaru,Crosstrek2.0i
476993,38994,2016,29285,Houston, TX,INFINITI,QX60FWD
849937,5495,2004,128440,Sacramento, CA,Volvo,V70XC70
273611,18954,2014,32291,Spring Hill, FL,Ford,EdgeLimited
383241,15650,2014,22022,Houston, TX,Honda,Civic
631224,7950,2011,143371,Albuquerque, NM,Mitsubishi,Lancer4dr
260555,19187,2017,22802,Hazelwood, MO,Ford,EscapeFWD
356694,17986,2012,54130,Rainbow City, AL,GMC,TerrainFWD
13614,27850,2014,22309,Littleton, CO,Audi,A42.0T
128944,9888,2013,50638,El Monte, CA,Chevrolet,Cruze1LT
591955,3995,2008,148717,Knoxville, TN,Mazda,MAZDA5Sport
623169,7980,2007,76097,Lexington, KY,Mercury,Milan4dr
132923,20000,2014,78950,Chattanooga, TN,Chevrolet,CamaroCoupe
119566,17000,2014,25377,Defiance, OH,Chevrolet,ImpalaLT
171016,25995,2004,29002,Phoenix, AZ,Chevrolet,Corvette2dr
36265,33991,2017,4473,North Hollywood, CA,BMW,3
515007,34950,2016,11115,Oklahoma City, OK,Jeep,Wrangler
596189,13990,2012,57888,Miami, FL,Mercedes-Benz,C-ClassC250
514529,34854,2016,17462,Frisco, TX,Jeep,Wrangler
706315,20000,2017,12468,Davie, FL,Ram,ProMaster
571644,37995,2015,13798,Houston, TX,Lexus,RX
351153,19995,2015,12332,Pelham, AL,GMC,TerrainFWD
465554,27950,2016,7505,Rocky Mount, NC,Hyundai,AzeraLimited
297558,23546,2013,61579,Warrensburg, NY,Ford,F-150SuperCab
266126,16988,2014,40534,Wilmington, NC,Ford,Fusion
775963,23988,2017,13721,Burlington, VT,Toyota,RAV4LE
531761,9999,2012,27861,Fond du Lac, WI,Kia,Soul5dr
812165,26800,2014,31520,Lenoir, NC,Toyota,AvalonLimited
110396,15220,2014,76587,Spartanburg, SC,Chevrolet,EquinoxFWD
674948,13888,2014,39838,Glendale, AZ,Nissan,JUKES
72467,16990,2010,59359,Edgewater Park, NJ,Cadillac,SRXFWD
193933,14988,2012,85306,Milwaukie, OR,Chrysler,3004dr
86137,17233,2017,25016,Jacksonville, FL,Chevrolet,MalibuLT
838989,1500,2001,136301,McCook, IL,Volkswagen,New
110343,15995,2013,66663,Colmar, PA,Chevrolet,EquinoxAWD
700832,23788,2003,70884,Nashville, TN,Porsche,911
81184,31895,2012,66839,Belford, NJ,Cadillac,Escalade
765361,15990,2015,62270,St Louis, MO,Toyota,CamrySE
379866,12995,2013,31263,Ocala, FL,Honda,Civic
450549,12542,2013,26112,Kissimmee, FL,Hyundai,VelosterRE:MIX
277342,13995,2012,30299,Midlothian, VA,Ford,Fusion4dr
93194,16025,2017,17839,Charlottesville, VA,Chevrolet,CruzeSedan
831161,11995,2014,62162,Tucson, AZ,Volkswagen,Passat4dr
333123,35580,2016,57156,Knoxville, TN,Ford,Expedition4WD
576917,27995,2015,36659,Countryside, IL,Lincoln,MKCAWD
218578,18000,2016,41961,Napa, CA,Dodge,Grand
758533,16995,2016,20991,Mauldin, SC,Toyota,CamryLE
87166,10985,2015,39596,Carlsbad, CA,Chevrolet,CruzeLS
65663,25497,2014,31650,Ocoee, FL,Buick,EnclaveLeather
665898,18000,2016,40446,Phoenix, AZ,Nissan,PathfinderS
842427,5999,2004,166696,Marietta, GA,Volkswagen,Touareg4dr
595273,22975,2017,5881,Bend, OR,Mazda,Mazda3
267665,9988,2011,96013,Somerville, NJ,Ford,Escape4WD
692497,17495,2015,50104,Easley, SC,Nissan,RogueSV
692330,10694,2015,34280,Fairbanks, AK,Nissan,Versa
334564,16995,2006,126792,Fontana, CA,Ford,Super
723225,37500,2012,130599,Ocala, FL,Ram,25004WD
655250,20995,2015,10606,Salem, OR,Nissan,Altima2.5
457295,8795,2007,86699,Warminster, PA,Hyundai,Santa
97101,11000,2013,44975,Napa, CA,Chevrolet,Cruze1LT
393228,5999,2008,102249,San Diego, CA,Honda,Civic
786328,12980,2013,39254,Bradenton, FL,Toyota,CamrySE
271711,21942,2015,16223,Murphy, NC,Ford,EdgeSE
72068,29999,2015,24700,Shoreline, WA,Cadillac,ATS
726653,3995,2006,140208,Pasadena, TX,Scion,tC3dr
605857,19988,2011,53398,Clermont, FL,Mercedes-Benz,E-Class4dr
796037,33990,2017,1015,Lawrenceburg, KY,Toyota,Tundra
485336,19795,2017,28124,Levittown, NY,Jeep,CherokeeLimited
337365,29988,2015,41234,Sacramento, CA,Ford,MustangFastback
201151,24980,2014,30363,Philadelphia, PA,Chrysler,Town
490711,22495,2015,23581,Decatur, IN,Jeep,CherokeeLimited
485989,9300,2014,76911,Bradenton, FL,Jeep,PatriotSport
302545,27500,2014,25657,Myrtle Beach, SC,Ford,MustangConvertible
816885,28349,2013,31637,Richmond, VA,Toyota,TacomaDouble
492561,21020,2016,2007,Indianapolis, IN,Jeep,RenegadeLatitude
453628,13995,2013,45229,Everett, WA,Hyundai,SonataGLS
213485,11800,2013,60194,Greensboro, NC,Dodge,DartLimited
91271,14725,2017,27775,Columbus, OH,Chevrolet,CruzeSedan
249430,17585,2017,32804,Dunn, NC,Ford,FusionSE
428370,17995,2011,93302,Cottonwood, AZ,Honda,Element4WD
773333,19490,2014,22935,Doylestown, PA,Toyota,RAV44X4
294176,28998,2017,14495,Conyers, GA,Ford,F-150XLT
139503,22877,2015,46354,Niceville, FL,Chevrolet,Traverse1LT
653749,21488,2017,28590,Santa Clara, CA,Nissan,MaximaS
209579,10872,2014,56301,Hillsboro, OR,Dodge,DartSE
638272,14750,2015,31049,Wilkesboro, NC,Nissan,Altima2.5
504628,28900,2015,44266,Garland, TX,Jeep,Grand
354713,12993,2010,96607,Annapolis, MD,GMC,AcadiaFWD
284122,16900,2012,73406,Salem, OR,Ford,ExplorerFWD
158217,36916,2017,8439,Austin, TX,Chevrolet,Silverado
148835,12795,2013,45451,Courtland, MN,Chevrolet,Captiva
224991,27500,2015,33221,Carlsbad, CA,Dodge,ChallengerR/T
378224,65826,2017,13876,Chamblee, GA,GMC,Yukon2WD
124912,18487,2014,50716,Kernersville, NC,Chevrolet,CamaroCoupe
673994,20914,2016,43455,Metairie, LA,Nissan,PathfinderSL
393717,18888,2016,23750,Tukwila, WA,Honda,Accord
6641,30927,2015,10674,Bellevue, WA,Acura,TLXFWD
851473,44380,2016,30100,Charlotte, NC,Volvo,XC90AWD
787517,13194,2012,60576,Fairbanks, AK,Toyota,Prius
675854,21551,2016,46563,Ewing, NJ,Nissan,PathfinderSV
169028,28850,2014,122307,Renville, MN,Chevrolet,Tahoe4WD
347693,46000,2012,49999,Stockton, CA,Ford,F-1504WD
358984,21410,2012,75328,Denver, CO,GMC,AcadiaAWD
819386,38841,2014,54276,Greeley, CO,Toyota,Tundra
106039,18909,2017,10724,Boyertown, PA,Chevrolet,CruzeSedan
349212,45917,2013,67990,Los Lunas, NM,Ford,Super
656336,22142,2017,23997,Pikeville, KY,Nissan,MaximaSL
510945,27980,2014,50516,Cary, NC,Jeep,Wrangler
780172,10981,2007,86522,Rockville, MD,Toyota,RAV44WD
439754,14950,2017,39770,Concord, CA,Hyundai,ElantraSE
696298,9995,2004,212052,Hattiesburg, MS,Nissan,Frontier
512410,30998,2014,20358,Nampa, ID,Jeep,Wrangler
602305,25863,2015,23361,Macon, GA,Mercedes-Benz,GLA-ClassGLA250
505351,11999,2014,61622,El Cajon, CA,Jeep,PatriotSport
340128,10839,2011,127128,Stafford, VA,Ford,Flex4dr
88434,17233,2017,29803,Victorville, CA,Chevrolet,MalibuLT
316272,24988,2013,98958,Norman, OK,Ford,F-150SuperCrew
235668,25990,2002,133849,Portland, OR,Dodge,Ram
217603,24999,2016,10046,Lawrenceville, GA,Dodge,ChallengerR/T
52197,37895,2014,58834,Westbury, NY,BMW,X5xDrive50i
460524,7999,2012,84131,Enfield, CT,Hyundai,Elantra4dr
470961,24299,2015,56856,West Palm Beach, FL,INFINITI,QX60FWD
222162,19995,2016,38130,San Diego, CA,Dodge,Grand
594164,17988,2014,32578,Glendale, CA,Mazda,Mazda3s
62719,20888,2015,14445,Gladstone, MO,Buick,RegalPremium
630173,10990,2015,20842,Tallassee, AL,Mitsubishi,MirageES
235102,17000,2008,99975,Elkhart, IN,Dodge,Ram
76451,31145,2015,25964,Indiana, PA,Cadillac,SRXLuxury
344220,27493,2013,67534,Roseville, MN,Ford,ExpeditionLimited
827801,16435,2016,27454,Charlotte, NC,Volkswagen,Passat4dr
445446,19229,2015,32172,Tempe, AZ,Hyundai,SonataLimited
519584,28987,2013,79587,Oxford, MS,Jeep,Wrangler
461528,13598,2011,91339,Cary, NC,Hyundai,Genesis4dr
674418,22998,2014,36621,Fox Lake, IL,Nissan,TitanCrew
25430,8471,2008,106459,Lithia Springs, GA,BMW,3
784100,11997,2009,75509,West Caldwell, NJ,Toyota,Venza4dr
748577,14450,2016,34973,Tacoma, WA,Toyota,CorollaL
379413,11986,2015,31009,Windsor Locks, CT,Honda,Civic
725403,12989,2016,12579,Modesto, CA,Scion,iAAutomatic
176293,11898,2006,246599,Rockford, MI,Chevrolet,Silverado
135795,7491,2000,128667,Fort Worth, TX,Chevrolet,New
370020,37500,2015,41925,Middlesboro, KY,GMC,Sierra
288495,22499,2014,40162,Santa Ana, CA,Ford,ExplorerXLT
92870,16025,2017,16913,West Springfield, MA,Chevrolet,CruzeSedan
727297,8555,2012,75328,Tampa, FL,Scion,xB5dr
485297,14788,2014,69465,Crystal Lake, IL,Jeep,CompassLatitude
431372,13547,2016,31139,Miami, FL,Hyundai,Sonata2.4L
734487,15995,2013,85560,Portsmouth, VA,Subaru,Impreza
530203,8595,2011,71750,Los Angeles, CA,Kia,Sportage2WD
679965,11495,2009,103786,Sacramento, CA,Nissan,Maxima4dr
378213,45455,2014,32945,San Diego, CA,GMC,Yukon
379883,17999,2017,4296,Austin, TX,Honda,Civic
768336,13400,2012,53966,Plano, TX,Toyota,RAV4
148602,29992,2016,13962,Signal Hill, CA,Chevrolet,ColoradoExtended
787631,3991,2003,228624,Las Vegas, NV,Toyota,Camry4dr
755681,16500,2014,21528,Louisville, KY,Toyota,CorollaS
512181,19995,2011,114685,Jersey City, NJ,Jeep,Wrangler
60442,16764,2014,38558,Henderson, NV,Buick,LaCrosseFWD
317793,2988,2006,130548,Odessa, TX,Ford,Focus4dr
789219,19990,2014,90374,Pikeville, KY,Toyota,RAV44X4
570084,11949,2006,136187,Nashville, TN,Lexus,RX
533044,7500,2010,88885,Matthews, NC,Kia,Forte
359980,22500,2012,72704,Olathe, KS,GMC,Sierra
71411,15455,2011,75181,Selma, TX,Cadillac,SRXFWD
528515,15995,2015,38663,Mission Hills, CA,Kia,OptimaEX
254916,7369,2012,71070,O'Fallon, IL,Ford,Fiesta5dr
413465,14521,2010,79000,Austin, TX,Honda,Odyssey5dr
394387,11852,2014,102827,Las Vegas, NV,Honda,Accord
169955,24991,2014,33245,Billings, MT,Chevrolet,Impala2LTZ
839991,12267,2010,79173,Golden Valley, MN,Volkswagen,TiguanAWD
605905,9995,2006,97673,Newport News, VA,Mercedes-Benz,S-ClassS350
189896,14650,2015,32686,Ypsilanti, MI,Chrysler,200S
699588,15995,2002,65035,Sioux Falls, SD,Pontiac,Firebird2dr
426932,36820,2016,12724,Woodside, NY,Honda,Pilot4WD
691381,19568,2013,54252,Hoover, AL,Nissan,370ZCoupe
612276,46368,2017,6200,SYLVANIA, OH,Mercedes-Benz,C-ClassC
607148,21275,2013,78577,Bronx, NY,Mercedes-Benz,E-ClassE350
624041,6995,2009,89653,Hayward, CA,MINI,Cooper
51121,35415,2017,10059,Los Angeles, CA,BMW,3
337156,16998,2009,94222,Lincoln, NE,Ford,F-1504WD
736801,20670,2015,52411,St. George, UT,Subaru,Forester2.5i
136659,26830,2017,12839,Orlando, FL,Chevrolet,TraverseFWD
565573,29990,2014,46156,Highland Park, IL,Lexus,IS
373893,40999,2015,71668,Warrenton, VA,GMC,Sierra
236287,22995,2006,125467,Smyrna, TN,Dodge,Ram
518688,33486,2015,24802,Omaha, NE,Jeep,Wrangler
474387,24000,2013,52099,Columbus, OH,INFINITI,M37M37x
282313,21900,2014,19249,Long Island City, NY,Ford,EdgeSEL
467172,18608,2013,48486,Daphne, AL,INFINITI,G37
543236,15495,2014,93500,Knoxville, TN,Kia,SorentoLX
46916,32000,2014,53615,Minnetonka, MN,BMW,X5xDrive35i
676753,28999,2015,12517,Albany, GA,Nissan,Murano2WD
10434,13995,2007,107208,Fredericksburg, VA,Acura,MDX4WD
195289,25750,2016,10056,San Angelo, TX,Chrysler,300300C
287772,14997,2010,99372,Watseka, IL,Ford,Edge4dr
725507,12400,2014,43825,Lubbock, TX,Scion,tCManual
331617,40900,2017,17392,Arlington Heights, IL,Ford,Explorer4WD
20839,42000,2017,2000,Palo Alto, CA,Audi,A4Premium
277531,22640,2017,15588,Clearwater, FL,Ford,MustangEcoBoost
222337,25995,2016,35645,Indio, CA,Dodge,ChallengerR/T
161921,2990,2003,171964,Covington, TN,Chevrolet,Impala4dr
711322,19800,2014,46086,Plymouth, WI,Ram,ProMaster
346823,27995,2011,175052,Houston, TX,Ford,Super
107726,17572,2016,38212,Lancaster, CA,Chevrolet,Malibu
629811,6400,2011,71849,Pinellas Park, FL,Mitsubishi,GalantFE
304708,22466,2011,70149,Cumming, GA,Ford,Explorer4WD
360997,19588,2012,126244,Houston, TX,GMC,Sierra
193859,16900,2014,88703,Noblesville, IN,Chrysler,300300S
568185,33995,2014,15530,Ellicott City, MD,Lexus,GS
810714,27600,2016,10037,Tulsa, OK,Toyota,RAV4
562743,26205,2014,55135,Watertown, MA,Lexus,ES
78481,35286,2017,16090,Atmore, AL,Cadillac,CTS
38110,21995,2014,93382,Burbank, IL,BMW,5
363967,34492,2017,12635,Jacksonville, FL,GMC,AcadiaFWD
30208,8977,2009,113968,Farmington Hills, MI,BMW,5
500049,25877,2014,32574,Lewisville, TX,Jeep,Grand
195711,18790,2012,55812,Pensacola, FL,Chrysler,3004dr
225947,29991,2016,23971,Scottsdale, AZ,Dodge,ChallengerR/T
483952,11988,2015,30485,Gadsden, AL,Jeep,PatriotSport
603266,34900,2016,12919,San Antonio, TX,Mercedes-Benz,C-ClassC300
748799,13500,2014,19900,Grapevine, TX,Toyota,CorollaL
829988,16500,2016,34191,Chicago, IL,Volkswagen,CC4dr
681397,17297,2014,18489,Duluth, GA,Nissan,JUKESV
586040,15995,2014,33498,Alexandria, LA,Mazda,Mazda3i
105890,19399,2016,19795,Royal Oak, MI,Chevrolet,EquinoxFWD
53018,42995,2015,44974,Seattle, WA,BMW,X5xDrive35i
34305,10981,2007,63581,Newport, NC,BMW,3
155508,35984,2017,5,Venice, FL,Chevrolet,Silverado
640243,10951,2012,57322,Woodlands, TX,Nissan,Altima4dr
458296,18900,2014,46773,Charlotte, NC,Hyundai,Santa
794217,17995,2005,54000,Rio Linda, CA,Toyota,Tundra2WD
527588,4995,2010,78555,Denton, TX,Kia,Rio4dr
839621,19396,2015,10549,Austin, TX,Volkswagen,Golf
581320,44991,2016,38512,Houston, TX,Lincoln,Navigator
545843,8499,2013,72501,Portsmouth, NH,Kia,RioSedan
49038,32295,2015,40969,Harriman, NY,BMW,4
366926,30995,2015,82122,High Point, NC,GMC,Sierra
103359,11961,2014,54004,Middlesboro, KY,Chevrolet,Cruze2LT
752909,12495,2013,32485,Whittier, CA,Toyota,CamryLE
677795,12795,2011,89880,Torrance, CA,Nissan,Xterra2WD
581686,35800,2014,35545,San Jose, CA,Maserati,GhibliGhibli
659677,14495,2013,84870,Pittsburgh, PA,Nissan,AltimaSedan
518244,39705,2015,25698,Golden, CO,Jeep,Wrangler
646266,15995,2015,27877,Burlington, WA,Nissan,Altima2.5
61424,10995,2008,62810,Philadelphia, PA,Buick,LaCrosse4dr
468408,10600,2011,142530,Murfreesboro, TN,INFINITI,G37
543823,17697,2013,27847,Colorado Springs, CO,Kia,Optima
552861,59995,2013,39124,Teterboro, NJ,Land,Rover
499056,20500,2014,71549,Panama City, FL,Jeep,Grand
518378,32989,2014,19101,Gloucester, MA,Jeep,Grand
533649,13995,2014,43340,Laurinburg, NC,Kia,SorentoLX
11803,10795,2011,106951,Elmhurst, IL,Audi,A44dr
724057,3995,2005,105310,Cleveland, OH,Saab,9-34dr
737749,19978,2014,37266,Downingtown, PA,Subaru,Outback2.5i
545013,21999,2016,48140,Waite Park, MN,Kia,SedonaL
306788,28465,2015,35706,Torrance, CA,Ford,ExplorerXLT
347254,45694,2015,36155,Colorado Springs, CO,Ford,F-1504WD
645759,12500,2014,23361,Golden Valley, MN,Nissan,SentraFE+
743442,21987,2017,10877,Ontario, OR,Subaru,Crosstrek2.0i
399658,15649,2013,30498,Punta Gorda, FL,Honda,CR-VLX
423727,23980,2013,77264,Enfield, CT,Honda,PilotTouring
266956,22826,2015,19723,Brentwood, CA,Ford,FusionTitanium
677258,5000,2008,214310,Crittenden, KY,Nissan,Titan2WD
673309,12994,2014,43198,Bristol, WI,Nissan,SentraS
22208,26442,2015,59372,Frederick, MD,Audi,Q3quattro
579480,7981,2004,126631,Raleigh, NC,Lincoln,Navigator4dr
273412,3275,2005,141497,Christianburg, VA,Ford,Focus4dr
546516,20968,2014,31466,Manchester, NH,Kia,SportageEX
254101,8988,2010,79765,Ortonville, MI,Ford,Fusion4dr
246798,16589,2016,19286,Dallas, TX,Ford,FusionSE
628673,12195,2013,83678,Phoenix, AZ,Mitsubishi,Outlander
62788,16995,2011,32713,Merrillville, IN,Buick,Lucerne4dr
377056,50764,2015,64940,Arundel, ME,GMC,Yukon
540697,13495,2012,100342,Franklin, IN,Kia,SportageAWD
248788,16487,2015,25144,Rochester, NY,Ford,FusionSE
444848,19497,2015,10358,Tempe, AZ,Hyundai,Sonata4dr
368915,17495,2008,110592,Pensacola, FL,GMC,Sierra
708459,23988,2014,56394,Gladstone, OR,Ram,"1500SLT,"
18829,38977,2016,9719,Pompano Beach, FL,Audi,A52.0T
